sgRNA	gene	CRISPR_C6976459.sample	ERS717283.plasmid
CNST_CCDS1628.1_ex3_1:246797289-246797312:+_5-3	CNST	241	184
GJC3_CCDS34697.1_ex1_7:99526769-99526792:+_5-2	GJC3	190	433
RASSF1_CCDS2820.1_ex2_3:50369085-50369108:-_5-2	RASSF1	613	354
ANKRD36_CCDS54379.1_ex19_2:97830184-97830207:+_5-5	ANKRD36	0	175
EIF5AL1_CCDS53546.1_ex0_10:81272561-81272584:+_5-3	EIF5AL1	547	524
CAPN5_CCDS8248.1_ex4_11:76826469-76826492:-_5-4	CAPN5	1947	708
NR2F2_CCDS10375.1_ex1_15:96877560-96877583:-_5-4	NR2F2	1540	1173
MXRA5_CCDS14124.1_ex2_X:3240267-3240290:+_5-1	MXRA5	368	354
COG2_CCDS1584.1_ex6_1:230805210-230805233:-_5-5	COG2	537	610
CDON_CCDS58192.1_ex14_11:125887060-125887083:-_5-4	CDON	1143	706
TRPM8_CCDS33407.1_ex3_2:234847802-234847825:+_5-2	TRPM8	894	578
NR4A2_CCDS2201.1_ex5_2:157186254-157186277:+_5-3	NR4A2	819	540
MAPK15_CCDS6409.2_ex5_8:144801257-144801280:-_5-4	MAPK15	353	542
LAMTOR3_CCDS3652.1_ex2_4:100806792-100806815:-_5-5	LAMTOR3	122	402
ALDH1L1_CCDS3034.1_ex21_3:125879694-125879717:-_5-5	ALDH1L1	278	267
LYPD6B_CCDS46423.1_ex3_2:150064854-150064877:+_5-4	LYPD6B	137	195
FIBP_CCDS8118.1_ex8_11:65655403-65655426:-_5-3	FIBP	722	408
LCMT1_CCDS45445.1_ex2_16:25143717-25143740:-_5-3	LCMT1	34	113
TMPRSS11F_CCDS3520.1_ex5_4:68938036-68938059:+_5-2	TMPRSS11F	168	50
PPAP2C_CCDS12023.1_ex1_19:282291-282314:+_5-1	PPAP2C	593	484
TMEM209_CCDS47712.1_ex10_7:129841811-129841834:+_5-4	TMEM209	0	24
C15orf52_CCDS10055.2_ex5_15:40630025-40630048:-_5-1	C15orf52	265	433
C1QTNF3_CCDS34141.1_ex4_5:34035786-34035809:-_5-3	C1QTNF3	1027	566
KSR2_CCDS61250.1_ex16_12:118199100-118199123:-_5-3	KSR2	1877	786
TMED10_CCDS9840.1_ex4_14:75643143-75643166:-_5-5	TMED10	535	944
MICA_CCDS56412.1_ex1_6:31378499-31378522:+_5-2	MICA	1044	349
CHI3L2_CCDS30802.1_ex5_1:111778358-111778381:+_5-2	CHI3L2	102	107
MAP7_CCDS5178.1_ex11_6:136698934-136698957:+_5-5	MAP7	519	775
NOLC1_CCDS65925.1_ex0_10:103912260-103912283:+_5-1	NOLC1	355	322
ETV5_CCDS33906.1_ex5_3:185783603-185783626:+_5-1	ETV5	817	422
MCM4_CCDS6143.1_ex4_8:48875397-48875420:+_5-4	MCM4	36	402
SSX2_CCDS14344.1_ex4_X:52734214-52734237:+_5-5	SSX2	317	472
DDA1_CCDS12357.1_ex3_19:17426782-17426805:+_5-5	DDA1	65	174
CCDC97_CCDS12578.1_ex2_19:41825518-41825541:-_5-5	CCDC97	87	355
HMBS_CCDS41726.1_ex6_11:118960938-118960961:+_5-3	HMBS	424	589
APLN_CCDS48165.1_ex0_X:128782683-128782706:-_4-2	APLN	194	188
LIMK1_CCDS5563.1_ex3_7:73511459-73511482:+_5-1	LIMK1	346	430
EFEMP1_CCDS1857.1_ex7_2:56145001-56145024:+_5-4	EFEMP1	1	8
TUBA3D_CCDS33290.1_ex3_2:132237930-132237953:-_5-5	TUBA3D	800	1377
TMEM214_CCDS42664.1_ex7_2:27259968-27259991:+_5-5	TMEM214	983	520
C7orf25_CCDS47576.1_ex0_7:42950129-42950152:-_5-3	C7orf25	628	610
EPB41_CCDS330.1_ex4_1:29344891-29344914:+_5-5	EPB41	656	428
SLCO2B1_CCDS44683.1_ex4_11:74880765-74880788:-_5-2	SLCO2B1	887	278
TMEM217_CCDS4831.1_ex1_6:37186419-37186442:-_5-1	TMEM217	899	998
TMEM184B_CCDS13969.2_ex5_22:38627334-38627357:-_5-4	TMEM184B	2598	1181
PAOX_CCDS7682.1_ex1_10:135193946-135193969:+_5-5	PAOX	1286	624
RAB7L1_CCDS1459.1_ex1_1:205739949-205739972:+_6-3	RAB7L1	395	365
